# ----------------------------------------,,,
# Accident,,,
# Location,,,
# 20200101-20210113,,,
# ----------------------------------------,,,
,,,
City,Sessions,New Users,Pageviews
Greensboro,138,100,197
(not set),112,81,162
Boone,88,64,89
Durham,87,75,108
Winston-Salem,82,69,109
Concord,74,56,105
Mooresville,65,48,79
Asheville,50,41,65
Jacksonville,50,44,108
Fayetteville,49,43,88
Indian Trail,49,18,75
Gastonia,47,33,68
Apex,40,32,47
Cary,37,27,47
Wilmington,35,27,75
Greenville,32,31,49
High Point,31,27,44
Thomasville,30,11,37
Sanford,29,22,35
Statesville,29,21,37
Corolla,28,21,33
Wake Forest,28,22,31
Garner,27,25,33
Oxford,27,23,37
Chapel Hill,26,21,57
Salisbury,26,13,28
Kill Devil Hills,25,21,27
Rocky Mount,24,23,32
Sunset Beach,24,18,28
Morganton,23,21,42
Hendersonville,22,21,33
Hickory,22,18,28
Lincolnton,22,17,23
Monroe,22,16,31
Wilson,22,17,25
Franklin,21,16,23
Emerald Isle,20,10,25
Louisburg,19,3,27
Goldsboro,18,16,20
Waynesville,18,7,25
Burlington,17,12,22
Clayton,17,14,22
Cornelius,17,7,19
Eden,17,10,21
Henderson,17,12,19
Huntersville,16,14,22
Kannapolis,16,15,24
Lexington,16,8,28
Matthews,16,15,19
Morehead City,16,10,23
Morrisville,16,15,35
Welcome,16,7,19
Carolina Beach,15,10,22
Elizabethtown,15,4,30
Fletcher,15,7,19
Kings Mountain,15,12,19
Fuquay-Varina,14,12,15
Newton,14,14,19
Pleasant Garden,14,5,22
Asheboro,13,12,15
Belmont,13,10,18
Black Mountain,13,11,15
Forest City,13,10,18
Lenoir,13,10,23
Mebane,13,12,14
Mount Holly,13,12,14
New Bern,13,12,16
Reidsville,12,10,17
Swansboro,12,9,13
(not set),12,5,33
Clemmons,11,6,18
Pinehurst,11,10,15
Zebulon,11,9,15
Marine Corps Air Station Cherry Point,10,8,19
Kernersville,10,9,13
Leland,10,10,12
Nags Head,10,8,11
Sylva,10,10,11
Boiling Springs,9,7,13
Cherryville,9,8,12
Elizabeth City,9,8,14
Fort Bragg,9,7,12
Hope Mills,9,8,10
Shelby,9,9,12
Tarboro,9,6,12
Mint Hill,9,8,13
Carrboro,8,5,14
Kinston,8,7,9
Mount Airy,8,7,8
Spring Lake,8,7,15
Richlands,8,3,8
Hillsborough,7,7,8
Knightdale,7,7,8
Lillington,7,6,7
Marion,7,6,9
Locust,7,3,12
(not set),7,3,12
Banner Elk,6,5,9
Brevard,6,6,7
Burnsville,6,5,9
Candler,6,6,6
Edenton,6,6,8
Lumberton,6,5,10
Pineville,6,5,13
Pittsboro,6,5,6
Raeford,6,5,16
Roanoke Rapids,6,6,8
Rockingham,6,5,7
Rutherfordton,6,3,7
Siler City,6,3,6
Trinity,6,4,6
Walnut Cove,6,4,8
Marvin,6,6,8
Rockfish,6,5,12
Buies Creek,5,3,5
Mars Hill,5,3,5
Mocksville,5,5,7
Oak Island,5,3,6
Roseboro,5,5,7
Smithfield,5,5,6
Southern Pines,5,5,5
Spruce Pine,5,4,6
Waxhaw,5,5,7
Wendell,5,4,11
Whiteville,5,5,6
Wilkesboro,5,5,5
Carolina Shores,5,3,9
Surf City,5,4,5
(not set),5,4,5
(not set),5,5,8
Conover,4,4,5
Cullowhee,4,4,5
Denver,4,2,4
Fairview,4,3,4
Kitty Hawk,4,4,4
Maggie Valley,4,4,5
Manteo,4,4,4
Moyock,4,2,4
Murphy,4,2,4
Newport,4,3,6
Robbins,4,3,5
Shallotte,4,4,4
Washington,4,4,7
Weaverville,4,2,4
Holly Springs,4,4,5
Summerfield,4,4,5
(not set),4,4,5
(not set),4,3,5
(not set),4,2,5
(not set),4,4,4
Avon,3,3,3
Benson,3,2,3
Camden,3,1,6
Claremont,3,3,5
Elon,3,3,3
Hertford,3,3,4
King,3,2,5
Lake Lure,3,2,6
Laurinburg,3,3,4
Mount Olive,3,3,4
Nashville,3,3,5
North Wilkesboro,3,3,3
Ocean Isle Beach,3,2,3
Spindale,3,3,6
Stanley,3,3,4
West Jefferson,3,2,3
Windsor,3,3,5
Archdale,3,2,5
Bladenboro,3,3,4
Fearrington,3,2,4
Mills River,3,3,7
Saxapahaw,3,3,4
Stallings,3,1,3
Wingate,3,2,12
(not set),3,3,3
(not set),3,3,5
(not set),3,2,3
(not set),3,3,4
(not set),3,3,4
(not set),3,1,4
(not set),3,2,4
(not set),3,3,3
Ahoskie,2,0,2
Aurora,2,2,4
Belhaven,2,2,3
Canton,2,1,4
Carthage,2,2,3
Dallas,2,2,3
Davidson,2,2,3
Elkin,2,2,2
Engelhard,2,2,4
Gibsonville,2,2,4
Jefferson,2,2,3
Kittrell,2,2,3
Lake Junaluska,2,1,8
Lowell,2,2,4
Maiden,2,1,2
Maple,2,2,5
Mount Gilead,2,2,2
Mount Pleasant,2,2,4
Ocracoke,2,2,2
Old Fort,2,2,2
Otto,2,2,4
Pinetown,2,2,3
Plymouth,2,2,2
Red Springs,2,2,2
Rocky Point,2,2,3
Roxboro,2,2,2
Rural Hall,2,2,4
Spring Hope,2,1,3
Stoneville,2,2,4
Troutman,2,2,3
Troy,2,2,4
Wallace,2,2,3
Yadkinville,2,2,3
Duck,2,2,2
Holden Beach,2,2,2
Oak Ridge,2,2,3
Weddington,2,2,12
Westport,2,1,2
(not set),2,2,3
(not set),2,2,2
(not set),2,1,4
(not set),2,2,2
(not set),2,1,4
(not set),2,2,2
(not set),2,2,2
(not set),2,2,2
(not set),2,2,2
(not set),2,1,4
(not set),2,1,2
Andrews,1,1,2
Arden,1,1,2
Barnardsville,1,1,2
Bayboro,1,1,2
Beaufort,1,1,2
Belews Creek,1,1,2
Bessemer City,1,1,1
Blanch,1,1,2
Browns Summit,1,1,2
Bryson City,1,1,1
Burgaw,1,1,1
Buxton,1,1,1
Cameron,1,1,1
Chocowinity,1,1,2
Clinton,1,1,1
Clyde,1,1,1
Columbus,1,1,2
Creedmoor,1,1,1
Creston,1,1,1
Currituck,1,1,1
Dobson,1,1,1
Dudley,1,1,2
Dunn,1,1,1
Efland,1,1,1
Erwin,1,1,1
Farmville,1,1,1
Godwin,1,1,1
Graham,1,1,1
Grantsboro,1,1,2
Grover,1,1,2
Hampstead,1,1,1
Harbinger,1,1,2
Highlands,1,1,2
Horse Shoe,1,1,2
Hudson,1,1,1
Jackson Springs,1,1,2
Lattimore,1,1,1
Lawndale,1,1,1
Lewisville,1,1,1
Littleton,1,1,2
Manns Harbor,1,1,1
Marble,1,1,2
Marshall,1,1,2
Maxton,1,1,1
Mayodan,1,1,2
McLeansville,1,1,2
McCain,1,1,2
Mount Ulla,1,1,1
Mountain Home,1,1,1
