"FileName","FullPath","Extension","Type","SizeMB","LastModified"
"# pypi.org recovery codes.txt","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\# pypi.org recovery codes.txt",".txt","Text/Log","0.00","8/20/2025 6:32:00 PM"
"436784","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\436784","","Other","0.00","8/20/2025 6:32:00 PM"
"436788","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\436788","","Other","0.00","8/20/2025 6:32:00 PM"
"436796","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\436796","","Other","0.00","8/20/2025 6:32:00 PM"
"436802","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\436802","","Other","0.00","8/20/2025 6:32:00 PM"
"436810","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\436810","","Other","0.00","8/20/2025 6:32:00 PM"
"436814","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\436814","","Other","0.00","8/20/2025 6:32:00 PM"
"439149","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\439149","","Other","0.00","8/20/2025 6:32:00 PM"
"439163","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\439163","","Other","0.00","8/20/2025 6:32:00 PM"
"439183","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\439183","","Other","0.00","8/20/2025 6:32:00 PM"
"439187","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\439187","","Other","0.00","8/20/2025 6:32:00 PM"
"439209","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\439209","","Other","0.00","8/20/2025 6:32:00 PM"
"439213","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\439213","","Other","0.00","8/20/2025 6:32:00 PM"
"439217","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\439217","","Other","0.00","8/20/2025 6:32:00 PM"
"439221","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\439221","","Other","0.00","8/20/2025 6:32:00 PM"
"439237","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\439237","","Other","0.00","8/20/2025 6:32:00 PM"
"439239","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\439239","","Other","0.00","8/20/2025 6:32:00 PM"
"439249","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\439249","","Other","0.00","8/20/2025 6:32:00 PM"
"439257","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\439257","","Other","0.00","8/20/2025 6:32:00 PM"
"439267","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\439267","","Other","0.00","8/20/2025 6:32:00 PM"
"439271","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\439271","","Other","0.00","8/20/2025 6:32:00 PM"
"439273","C:\Temp\DeepDiveExtract\OneDrive_1\Desktop\.tmp.driveupload\439273","","Other","0.00","8/20/2025 6:32:00 PM"
