name,website,map link,address,phone,created at,latitude,longitude,google rank,number of reviews,search keywords,contact page link
Oldham & Delcamp LLC.,https://oldhamdelcamp.com/?utm_source=google%20my%20business&utm_medium=organic,https://www.google.com/maps/place/?q=place_id:ChIJFUIpsYXmwogRhEgWQn2y2A4,"4970 Park Blvd N, Pinellas Park, FL 33781",(727) 308-5860,2020-09-01T15:47:00.094264,27.83902,-82.701491,11,46,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"BJE Law, P.A.",http://www.bjelaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJV-PRgJrEwogR_dD8-U-xVJg,"11928 Sheldon Rd, Tampa, FL 33626",(813) 252-9054,2020-09-01T15:48:36.695902,28.057662,-82.584304,11,84,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Goudie & Kohn, P.A.",https://www.goudiekohn.com/,https://www.google.com/maps/place/?q=place_id:ChIJfUWpN4nEwogR5oNb8u7jsFY,"3004 W Cypress St, Tampa, FL 33609",(813) 428-8504,2020-09-01T15:47:00.081838,27.9517238,-82.4917182,10,20,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Law Offices of Bill Dickey, P.A.",https://www.bdinjurylaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-local,https://www.google.com/maps/place/?q=place_id:ChIJ7QCmDTDDwogRUzP8kGi3AhQ,"3800 W Bay to Bay Blvd #12, Tampa, FL 33629",(813) 835-3800,2020-09-01T15:48:36.694364,27.9195743,-82.5065572,7,4,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Needle & Ellenberg, P.A.",https://www.needleellenberg.com/,https://www.google.com/maps/place/?q=place_id:ChIJs5SWIFTCwogRfgdaFEuGlyU,"401 E Jackson St Suite 2340, Tampa, FL 33602",(813) 358-6637,2020-09-01T15:47:00.085049,27.947067,-82.4561431,18,1,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Perenich The Law Firm,https://perenichlaw.com/personal-injury-attorneys-palm-harbor-fl/,https://www.google.com/maps/place/?q=place_id:ChIJRdeRqfrywogRPvlp9vmv-yI,"3204 US-19 ALT, Palm Harbor, FL 34683",(727) 500-1499,2020-09-01T15:48:36.704826,28.0989098,-82.7721716,20,3,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Fernandez Marcus,http://kfblaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJI8B49HLDwogR3WUElLwBpFI,"3128 W Kennedy Blvd, Tampa, FL 33609",(813) 875-5445,2020-09-01T15:48:36.694096,27.94447,-82.494559,3,1,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Roman & Roman,https://www.romanromanlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJXY2MtHPDwogRE30qJ_0hcok,"9301 W Hillsborough Ave, Tampa, FL 33615",(877) 767-1032,2020-09-01T15:48:36.692823,28.000012,-82.591417,4,3,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Emerson Straw PL,https://emersonstraw.com/?utm_source=GMBlisting&utm_medium=organic,https://www.google.com/maps/place/?q=place_id:ChIJS1WID53hwogRXfyFbKOMjpU,"1101 Dr M.L.K. Jr St N, St. Petersburg, FL 33701",(727) 821-1500,2020-09-01T15:48:36.704631,27.7830615,-82.6463741,17,23,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Prugh & Associates, P.A.",http://www.prughlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJLUgBUYPEwogRgp2BqlKWpVQ,"1009 W Platt St, Tampa, FL 33606",(813) 251-3548,2020-09-01T15:48:36.691164,27.9419441,-82.47029,18,27,"Tampa Personal Injury attorneys Tampa, Florida, United States",
SteinLaw,https://www.steinlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJo9Jl87HFwogROZPTWySIiyE,"1814 N 15th St, Tampa, FL 33605",(813) 397-6195,2020-09-01T15:48:36.692249,27.9608075,-82.4432179,15,2,"Tampa Personal Injury attorneys Tampa, Florida, United States",
CDB Injury Law - Chris DeBari,https://www.cdbinjurylaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ5Xcy4BrBwogR1CJegKEJPVU,"3812 W Linebaugh Ave Suite 109, Tampa, FL 33618",(727) 656-7852,2020-09-01T15:48:36.692186,28.0394498,-82.5062504,14,27,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Distasio Law Firm,https://distasiofirm.com/wesley-chapel-personal-injury-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=gmbwesleychapel,https://www.google.com/maps/place/?q=place_id:ChIJh_eVtCqxwogRrAXnljrP5G0,"3848 Flatiron Loop suite 101-6, Wesley Chapel, FL 33544",(813) 437-4424,2020-09-01T15:47:00.091788,28.212939,-82.354618,14,8,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"K LAW, PLLC",https://klawhelp.com/?utm_source=gmb&utm_medium=gmb&utm_campaign=gmb%20local%20seo&utm_term=gmb%20local%20seo,https://www.google.com/maps/place/?q=place_id:ChIJi-aEAFvEwogRALhycak3iQ4,"4326 Central Ave, St. Petersburg, FL 33711",(727) 685-3695,2020-09-01T15:48:36.705568,27.77068,-82.692293,11,23,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Denmon Pearlman,https://denmonpearlman.com/st-petersburg-personal-injury-lawyer/,https://www.google.com/maps/place/?q=place_id:ChIJVVWFZIThwogRsFAnJFz8mnk,"520 2nd Ave S, St. Petersburg, FL 33701",(727) 493-5610,2020-09-01T15:48:36.703986,27.7692536,-82.6406208,7,206,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Hinshaw & Culbertson LLP,http://www.hinshawlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJGywaNozEwogRQV6wN0GBh3Q,"100 Ashley Dr S #500, Tampa, FL 33602",(813) 276-1662,2020-09-01T15:48:36.706791,27.9447272,-82.4578801,10,3,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Joyce & Reyes Law Firm,http://www.joyceandreyespa.com/,https://www.google.com/maps/place/?q=place_id:ChIJ7_52AZDEwogRYst-Su7Dyzo,"307 S Hyde Park Ave, Tampa, FL 33606",(813) 251-2007,2020-09-01T15:48:36.691036,27.9409511,-82.4642684,16,59,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Larson Johnson,https://www.larsonjohnsonlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJjWhLEYzEwogR7Ck9Doxl9Oo,"2011 W Cleveland St, Tampa, FL 33606",(813) 228-6688,2020-09-01T15:48:36.702899,27.9434708,-82.4806439,10,7,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Rinaldo Law Group,https://www.tampainjuryaccidentlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ7QCmDTDDwogRzapuRDf3_K0,"3800 W Bay to Bay Blvd STE 11, Tampa, FL 33629",(813) 831-9999,2020-09-01T15:48:36.690717,27.919574,-82.5065572,11,87,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Harmon Parker, P.A.",https://www.harmonparkerlaw.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=Products_Tampa,https://www.google.com/maps/place/?q=place_id:ChIJT0Kfm_bEwogRdjKPQGH5soY,"110 N 11th St 2nd Floor, Tampa, FL 33602",(813) 452-4144,2020-09-01T15:48:36.694224,27.9481207,-82.4478981,5,18,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Wilkes & McHugh,http://www.wilkesmchugh.com/,https://www.google.com/maps/place/?q=place_id:ChIJFZ9nTg7DwogRxefE98YN2TQ,"1 N Dale Mabry Hwy Suite 700, Tampa, FL 33609",(813) 873-0026,2020-09-01T15:48:36.694160,27.9453217,-82.5049759,4,15,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Percy Martinez Medical Malpractice Lawyers,https://percymartinezlaw.com/tampa/medical-malpractice-lawyer/,https://www.google.com/maps/place/?q=place_id:ChIJD9J4qlvEwogRcrsCibUIHuQ,"1228 E 7th Ave #223, Tampa, FL 33605",(813) 371-0384,2020-09-01T15:48:36.690260,27.9604986,-82.4456773,4,26,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Jones Law Group,http://jlgtampabay.com/,https://www.google.com/maps/place/?q=place_id:ChIJoyqVyDbjwogRG3bTfv7Zl4U,"5622 Central Ave, St. Petersburg, FL 33710",(727) 571-1333,2020-09-01T15:48:36.704696,27.7705773,-82.7098469,18,36,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Stringer Lawfirm,https://stringerlawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJe3daiGbEwogRhlehOgtmwqI,"1808 N Morgan St A, Tampa, FL 33602",(813) 874-5555,2020-09-01T15:48:36.706918,27.96106,-82.4582376,12,12,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Smith & Stallworth, Attorneys at Law",https://www.smithstallworth.com/?utm_source=GMB&utm_medium=organic&utm_campaign=Tampa,https://www.google.com/maps/place/?q=place_id:ChIJp8j78IvEwogRZWYIdSVWtIw,"201 E Kennedy Blvd Suite 1475, Tampa, FL 33602",(813) 223-7799,2020-09-01T15:48:36.693026,27.9471415,-82.45816,7,11,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Tison Law Group,http://www.tisonlawgroup.com/,https://www.google.com/maps/place/?q=place_id:ChIJfTvL7S7BwogRtzSSCSWBTfs,"9312 N Armenia Ave, Tampa, FL 33612",(813) 739-1776,2020-09-01T15:48:36.691739,28.0346471,-82.4843824,7,13,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"The Law Firm of Vanessa L. Albaum, PLLC",http://vlalegal.com/,https://www.google.com/maps/place/?q=place_id:ChIJLZ_O51DhwogRU1fTefaJnBk,"146 2nd St N Suite 310-C, St. Petersburg, FL 33701",(727) 233-4233,2020-09-01T15:48:36.704566,27.7731148,-82.6358763,16,13,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Sammis Law Firm, P.A.",https://www.criminaldefenseattorneytampa.com/,https://www.google.com/maps/place/?q=place_id:ChIJCfiU72HEwogRbIlg4o97-7o,1005 N Marion St · In Floridian Legal Center,(813) 250-0500,2020-09-01T15:48:36.703476,27.9532609,-82.4581485,19,65,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Wilkes & McHugh,http://www.wilkesmchugh.com/,https://www.google.com/maps/place/?q=place_id:ChIJFZ9nTg7DwogRODtskTfRBu8,"1 N Dale Mabry Hwy # 800, Tampa, FL 33609",(813) 873-0026,2020-09-01T15:48:36.692441,27.9452509,-82.5049318,18,,"Tampa Personal Injury attorneys Tampa, Florida, United States",
