"LocalAddress","LocalPort","OwningProcess"
"::","22","18868"
"0.0.0.0","22","18868"
"0.0.0.0","135","1536"
"::","135","1536"
"192.168.0.143","139","4"
"172.23.176.1","139","4"
"::","445","4"
"127.0.0.1","1042","36304"
"127.0.0.1","1043","36304"
"::","4848","18624"
"0.0.0.0","5040","12848"
"::","5357","4"
"127.0.0.1","5939","6600"
"::","5985","4"
"::1","7679","46284"
"::","7680","33312"
"127.0.0.1","7778","6020"
"0.0.0.0","9012","6816"
"0.0.0.0","9013","6816"
"127.0.0.1","11001","6064"
"127.0.0.1","13010","6012"
"127.0.0.1","13030","6240"
"127.0.0.1","13031","30976"
"127.0.0.1","13032","30976"
"127.0.0.1","17532","6012"
"127.0.0.1","17945","30976"
"127.0.0.1","22112","6240"
"127.0.0.1","24830","6056"
"0.0.0.0","27036","22256"
"127.0.0.1","27060","22256"
"127.0.0.1","27339","4"
"::1","34616","6936"
"127.0.0.1","34616","6936"
"::1","42050","41144"
"::","47001","4"
"127.0.0.1","49000","36688"
"127.0.0.1","49443","36688"
"::","49664","1880"
"0.0.0.0","49664","1880"
"0.0.0.0","49665","1776"
"::","49665","1776"
"0.0.0.0","49666","3536"
"::","49666","3536"
"::","49667","3784"
"0.0.0.0","49667","3784"
"::","49668","3812"
"0.0.0.0","49668","3812"
"0.0.0.0","49669","5568"
"::","49669","5568"
"0.0.0.0","49673","1852"
"::","49673","1852"
"0.0.0.0","49676","5524"
"0.0.0.0","49677","5524"
"0.0.0.0","49678","5524"
"0.0.0.0","49679","5524"
"0.0.0.0","49680","5524"
"0.0.0.0","49681","5524"
"127.0.0.1","50923","6020"
"127.0.0.1","51549","22256"
"127.0.0.1","51551","22256"
"100.89.12.61","53040","35804"
"127.0.0.1","54628","23656"
"127.0.0.1","56255","3404"
"127.0.0.1","56444","28348"
"::1","57081","23720"
"::","57081","36688"
"fd7a:115c:a1e0::cd01:c3e","57730","35804"
"::","59080","36688"
"::1","59080","23720"
"127.0.0.1","65001","6228"
