"Class","FriendlyName","InstanceId","Problem","ConfigManagerErrorCode","ProblemDescription","Caption","Description","InstallDate","Name","Status","Availability","ConfigManagerUserConfig","CreationClassName","DeviceID","ErrorCleared","ErrorDescription","LastErrorCode","PNPDeviceID","PowerManagementCapabilities","PowerManagementSupported","StatusInfo","SystemCreationClassName","SystemName","ClassGuid","CompatibleID","HardwareID","Manufacturer","PNPClass","Present","Service","PSComputerName"
"HIDClass","HID-compliant vendor-defined device","HID\VID_0B05&PID_193B&COL02\7&97B63EB&0&0001","CM_PROB_NONE","CM_PROB_NONE",,"HID-compliant vendor-defined device","HID-compliant vendor-defined device",,"HID-compliant vendor-defined device","OK",,"False","Win32_PnPEntity","HID\VID_0B05&PID_193B&COL02\7&97B63EB&0&0001",,,,"HID\VID_0B05&PID_193B&COL02\7&97B63EB&0&0001",,,,"Win32_ComputerSystem","ROG-LUCCI","{745a17a0-74d3-11d0-b6fe-00a0c90f57da}",,"System.String[]","(Standard system devices)","HIDClass","True",,
"Net","Microsoft Wi-Fi Direct Virtual Adapter","{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\5&B1D2F7A&0&11","CM_PROB_NONE","CM_PROB_NONE",,"Microsoft Wi-Fi Direct Virtual Adapter","Microsoft Wi-Fi Direct Virtual Adapter",,"Microsoft Wi-Fi Direct Virtual Adapter","OK",,"False","Win32_PnPEntity","{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\5&B1D2F7A&0&11",,,,"{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\5&B1D2F7A&0&11",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e972-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","Microsoft","Net","True","vwifimp",
"Net","Microsoft Wi-Fi Direct Virtual Adapter #2","{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\5&B1D2F7A&0&12","CM_PROB_NONE","CM_PROB_NONE",,"Microsoft Wi-Fi Direct Virtual Adapter #2","Microsoft Wi-Fi Direct Virtual Adapter",,"Microsoft Wi-Fi Direct Virtual Adapter #2","OK",,"False","Win32_PnPEntity","{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\5&B1D2F7A&0&12",,,,"{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\5&B1D2F7A&0&12",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e972-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","Microsoft","Net","True","vwifimp",
"USB","AMD USB 3.10 eXtensible Host Controller - 1.20 (Microsoft)","PCI\VEN_1022&DEV_15BA&SUBSYS_201F1043&REV_00\4&98C338A&0&0441","CM_PROB_NONE","CM_PROB_NONE",,"AMD USB 3.10 eXtensible Host Controller - 1.20 (Microsoft)","USB xHCI Compliant Host Controller",,"AMD USB 3.10 eXtensible Host Controller - 1.20 (Microsoft)","OK",,"False","Win32_PnPEntity","PCI\VEN_1022&DEV_15BA&SUBSYS_201F1043&REV_00\4&98C338A&0&0441",,,,"PCI\VEN_1022&DEV_15BA&SUBSYS_201F1043&REV_00\4&98C338A&0&0441",,,,"Win32_ComputerSystem","ROG-LUCCI","{36fc9e60-c465-11cf-8056-444553540000}","System.String[]","System.String[]","Generic USB xHCI Host Controller","USB","True","USBXHCI",
"SoftwareDevice","Rts-DMFT-Group","SWD\SGDEVAPI\A518AEE3BAED74F3C0C6686BA4287C6527046E155110F953FA27CA7EC18D3ED5","CM_PROB_NONE","CM_PROB_NONE",,"Rts-DMFT-Group","Generic software device",,"Rts-DMFT-Group","OK",,"False","Win32_PnPEntity","SWD\SGDEVAPI\A518AEE3BAED74F3C0C6686BA4287C6527046E155110F953FA27CA7EC18D3ED5",,,,"SWD\SGDEVAPI\A518AEE3BAED74F3C0C6686BA4287C6527046E155110F953FA27CA7EC18D3ED5",,,,"Win32_ComputerSystem","ROG-LUCCI","{62f9c741-b25a-46ce-b54c-9bccce08b6f2}","System.String[]","System.String[]","Microsoft","SoftwareDevice","True",,
"PrintQueue","OneNote (Desktop)","SWD\PRINTENUM\{5B050DB3-96BB-4D1F-91DE-9628142B9257}","CM_PROB_NONE","CM_PROB_NONE",,"OneNote (Desktop)","Local Print Queue",,"OneNote (Desktop)","OK",,"False","Win32_PnPEntity","SWD\PRINTENUM\{5B050DB3-96BB-4D1F-91DE-9628142B9257}",,,,"SWD\PRINTENUM\{5B050DB3-96BB-4D1F-91DE-9628142B9257}",,,,"Win32_ComputerSystem","ROG-LUCCI","{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc}","System.String[]","System.String[]","Microsoft","PrintQueue","True",,
"MEDIA","AMD High Definition Audio Device","HDAUDIO\FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1008\5&1CD0132C&0&0001","CM_PROB_NONE","CM_PROB_NONE",,"AMD High Definition Audio Device","AMD High Definition Audio Device",,"AMD High Definition Audio Device","OK",,"False","Win32_PnPEntity","HDAUDIO\FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1008\5&1CD0132C&0&0001",,,,"HDAUDIO\FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1008\5&1CD0132C&0&0001",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e96c-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","Advanced Micro Devices","MEDIA","True","AtiHDAudioService",
"HIDClass","ASUS Precision Touchpad","HID\ASUP1208&COL02\4&FBB3F3F&0&0001","CM_PROB_NONE","CM_PROB_NONE",,"ASUS Precision Touchpad","ASUS Precision Touchpad",,"ASUS Precision Touchpad","OK",,"False","Win32_PnPEntity","HID\ASUP1208&COL02\4&FBB3F3F&0&0001",,,,"HID\ASUP1208&COL02\4&FBB3F3F&0&0001",,,,"Win32_ComputerSystem","ROG-LUCCI","{745a17a0-74d3-11d0-b6fe-00a0c90f57da}",,"System.String[]","ASUSTek COMPUTER INC.","HIDClass","True","AsusPTPDrv",
"HIDClass","HID-compliant vendor-defined device","HID\VID_0B05&PID_193B&COL01\7&97B63EB&0&0000","CM_PROB_NONE","CM_PROB_NONE",,"HID-compliant vendor-defined device","HID-compliant vendor-defined device",,"HID-compliant vendor-defined device","OK",,"False","Win32_PnPEntity","HID\VID_0B05&PID_193B&COL01\7&97B63EB&0&0000",,,,"HID\VID_0B05&PID_193B&COL01\7&97B63EB&0&0000",,,,"Win32_ComputerSystem","ROG-LUCCI","{745a17a0-74d3-11d0-b6fe-00a0c90f57da}",,"System.String[]","(Standard system devices)","HIDClass","True",,
"MEDIA","Microsoft Streaming Service Proxy","SW\{96E080C7-143C-11D1-B40F-00A0C9223196}\{3C0D501A-140B-11D1-B40F-00A0C9223196}","CM_PROB_NONE","CM_PROB_NONE",,"Microsoft Streaming Service Proxy","Microsoft Streaming Service Proxy",,"Microsoft Streaming Service Proxy","OK",,"False","Win32_PnPEntity","SW\{96E080C7-143C-11D1-B40F-00A0C9223196}\{3C0D501A-140B-11D1-B40F-00A0C9223196}",,,,"SW\{96E080C7-143C-11D1-B40F-00A0C9223196}\{3C0D501A-140B-11D1-B40F-00A0C9223196}",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e96c-e325-11ce-bfc1-08002be10318}",,"System.String[]","Microsoft","MEDIA","True","MSKSSRV",
