Name                                                     Stmts   Miss  Cover
----------------------------------------------------------------------------
src\__init__.py                                              0      0   100%
src\config_loader.py                                       120     91    24%
src\data_extractor.py                                      272    251     8%
src\data_hunter.py                                         268    230    14%
src\hallandale_pipeline.py                                 144    134     7%
src\hallandale_pipeline_fixed.py                           138    138     0%
src\logger.py                                              165    165     0%
src\notification_agent.py                                  169    169     0%
src\orchestrator.py                                        269    269     0%
src\pagination_manager.py                                  204    204     0%
src\pdf_processor.py                                       220    180    18%
src\property_enrichment.py                                 211    188    11%
src\property_validation.py                                 286    279     2%
src\security_audit.py                                      165    165     0%
src\security_manager.py                                     89     68    24%
src\unified_schema.py                                      153    110    28%
src\webdriver_manager.py                                   177    165     7%
universal_recon\__init__.py                                  1      0   100%
universal_recon\analytics\__init__.py                        2      0   100%
universal_recon\analytics\domain_anomaly_flagger.py         24     24     0%
universal_recon\analytics\drift_dashboard_generator.py      58     58     0%
universal_recon\analytics\export_csv_summary.py             54     54     0%
universal_recon\analytics\overlay_visualizer.py             22     22     0%
universal_recon\analytics\plugin_decay_overlay.py           57     57     0%
universal_recon\analytics\plugin_registry_dashboard.py      19     19     0%
universal_recon\analytics\plugin_usage_diff.py              34     26    24%
universal_recon\analytics\risk_overlay_emitter.py           84     74    12%
universal_recon\analytics\schema_dashboard_stub.py          16     16     0%
universal_recon\analytics\schema_matrix_collector.py        32     32     0%
universal_recon\analytics\schema_score_linter.py            20     20     0%
universal_recon\analytics\score_drift_export.py             31     31     0%
universal_recon\analytics\site_schema_collector.py          13     13     0%
universal_recon\analytics\template_health_flagger.py        17     17     0%
universal_recon\analytics\trend_badge_tracker.py            63     63     0%
universal_recon\analytics\trend_dashboard_stub.py           13     13     0%
universal_recon\analytics\validator_drift_overlay.py        51     51     0%
universal_recon\cli\__init__.py                              0      0   100%
universal_recon\cli\run_plugin.py                           15     15     0%
universal_recon\core\logger.py                              10      0   100%
universal_recon\main.py                                     78     78     0%
universal_recon\plugin_aggregator.py                        40     40     0%
universal_recon\plugin_loader.py                            46     46     0%
universal_recon\plugins\__init__.py                          2      0   100%
universal_recon\plugins\ai_template_indexer.py              19     16    16%
universal_recon\plugins\ai_template_indexer_v2.py           49     16    67%
universal_recon\plugins\angi_plugin.py                      67     56    16%
universal_recon\plugins\auto_dealer_plugin.py              125    114     9%
universal_recon\plugins\base.py                             11     11     0%
universal_recon\plugins\firm_parser.py                       3      1    67%
universal_recon\plugins\form_autofill.py                    48     44     8%
universal_recon\plugins\google_sheets_utils.py              55     43    22%
universal_recon\plugins\homeadvisor_plugin.py               91     80    12%
universal_recon\plugins\houzz_plugin.py                     67     56    16%
universal_recon\plugins\hvac_plumber_plugin.py             127    116     9%
universal_recon\plugins\lawyer_directory_plugin.py         124    113     9%
universal_recon\plugins\loader.py                           15      0   100%
universal_recon\plugins\ml_labeler.py                       22     18    18%
universal_recon\plugins\pool_contractor_plugin.py          117    106     9%
universal_recon\plugins\realtor_directory_plugin.py        224    207     8%
universal_recon\plugins\record_field_validator_v3.py        34     27    21%
universal_recon\plugins\reference_realtor.py                14      7    50%
universal_recon\plugins\social_link_parser.py               15     12    20%
universal_recon\plugins\thumbtack_plugin.py                 91     80    12%
universal_recon\utils\audit_report_generator.py             22     18    18%
universal_recon\utils\record_normalizer.py                  16     12    25%
universal_recon\utils\score_predictor.py                    27     23    15%
universal_recon\utils\score_visualizer.py                   34     26    24%
----------------------------------------------------------------------------
TOTAL                                                     5269   4777     9%
